hotel,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
321,Mason City,US,87.8,clear sky,43.15,-93.2,Days Inn by Wyndham Mason City
327,Keti Bandar,PK,83.3,overcast clouds,24.14,67.45,Haji laloo memon house
330,Grinnell,US,91.4,clear sky,41.74,-92.72,"Country Inn & Suites by Radisson, Grinnell, IA"
333,Shihezi,CN,76.86,overcast clouds,44.3,86.03,Home Inn Shihezi Dongwu Road Century Square
336,San Andres,CO,84.2,scattered clouds,12.58,-81.7,Hotel Arena Blanca
338,Fiumicino,IT,77.0,clear sky,41.77,12.23,Al Porticciolo Hotel
339,Shenjiamen,CN,82.8,clear sky,29.96,122.3,Jinjiang Inn Zhoushan Putuo Shenjiamen
342,Saint Anthony,US,86.0,clear sky,45.02,-93.22,Holiday Inn Express Roseville-St. Paul
343,Isangel,VU,82.67,light rain,-19.55,169.27,Volcano Sea View Tree House
345,New Ulm,US,84.2,clear sky,44.31,-94.46,Best Western Plus New Ulm
351,Lakatoro,VU,82.4,scattered clouds,-16.1,167.42,Lakatoro Palm Lodge
356,Victoria,HK,86.0,clear sky,22.29,114.16,Mini Hotel Central
358,Tuy Hoa,VN,84.25,overcast clouds,13.08,109.3,CenDeluxe Hotel Tuy Hoa
360,Yatou,CN,79.95,scattered clouds,37.15,122.38,GreenTree Hotel Rongcheng Bus Station
361,Awjilah,LY,75.83,clear sky,29.11,21.29,
364,Boulder,US,87.01,clear sky,40.08,-105.35,Deck House Boulder
371,Ouagadougou,BF,78.8,few clouds,12.36,-1.54,Pacific Hôtel
380,Tutoia,BR,79.14,scattered clouds,-2.76,-42.27,Pousada Guará's
384,Marsh Harbour,BS,84.87,light rain,26.54,-77.06,Abaco Beach Resort
386,Nabire,ID,77.67,overcast clouds,-3.37,135.48,Hotel Nusantara Nabire
387,Matsubase,JP,84.2,few clouds,32.65,130.67,Uto Center Hotel
388,Sao Filipe,CV,78.96,overcast clouds,14.9,-24.5,Tortuga B&B
389,Tahta,EG,80.6,clear sky,26.77,31.5,Møhãmęd Tãręk 🏠
400,Korla,CN,75.0,clear sky,41.76,86.15,Gulisitan Hotel
401,Jalu,LY,76.59,clear sky,29.03,21.55,Jalu Hotel
403,Myitkyina,MM,77.07,overcast clouds,25.38,97.4,Shwe Phyu Hotel
414,Guerrero Negro,MX,78.48,few clouds,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
415,Kalmunai,LK,78.64,broken clouds,7.42,81.82,VS Villa
418,Cayenne,GF,75.2,overcast clouds,4.93,-52.33,Hôtel Le Dronmi
419,Nalut,LY,76.3,clear sky,30.33,10.85,
421,Hamilton,US,79.0,clear sky,39.18,-84.53,Six Acres Bed & Breakfast
423,Shingu,JP,84.2,scattered clouds,33.73,135.98,Shingu UI Hotel
428,Chardara,KZ,80.04,overcast clouds,41.25,67.97,Жанаргул
432,Shelburne,CA,77.0,few clouds,44.08,-80.2,The Retreat at the Farm
433,Aguimes,ES,80.6,clear sky,27.91,-15.45,Hotel Villa de Aguimes
435,Khuzdar,PK,78.85,light rain,27.74,66.64,jhalwan Rent A Car Compny Moola Chotok
437,Voh,NC,80.11,overcast clouds,-20.97,164.7,Le gîte du Koniambo
439,Pedernales,DO,82.0,overcast clouds,18.04,-71.74,Hotel Costa Marina
441,Altus,US,91.4,haze,34.64,-99.33,Holiday Inn Express & Suites Altus
442,Erzin,TR,78.01,clear sky,36.96,36.2,Artemis Otel
443,Gangoh,IN,77.27,clear sky,29.77,77.25,Malik electrician and electronic
452,Iracoubo,GF,80.26,overcast clouds,5.48,-53.2,Le Gite D Iracoubo
453,Angoram,PG,77.65,light rain,-4.06,144.07,
456,Sarangani,PH,83.05,clear sky,5.4,125.46,Ballistic Islet
457,Galle,LK,79.81,overcast clouds,6.04,80.22,CocoBay Unawatuna
465,Savannah Bight,HN,84.34,clear sky,16.45,-85.85,Villa on Dunbar Rock
468,Lincoln,US,91.4,clear sky,40.8,-96.67,Courtyard by Marriott Lincoln Downtown/Haymarket
469,Umm Kaddadah,SD,79.93,overcast clouds,13.6,26.69,
470,Kalur Kot,PK,91.9,overcast clouds,32.16,71.26,CHAAND STREET
472,Biak,ID,81.5,overcast clouds,-0.91,122.88,Kost Ariz
480,Kaikalur,IN,78.8,haze,16.57,81.2,Murali Krishna Donepudi
482,Tucumcari,US,93.56,broken clouds,35.17,-103.72,Holiday Inn Express & Suites Tucumcari
484,Meadow Lake,US,93.2,broken clouds,34.8,-106.54,JKL Inc. R.V Park and Storage
491,Manuk Mangkaw,PH,83.89,light rain,4.8,119.85,
492,Harindanga,IN,80.6,haze,22.04,88.32,QARI ARIF BILLAH HOUSE. & THE INTERNATIONAL TAHFIZUL. QURAN MADRASAH MISSAIN
494,Carroll,US,75.0,few clouds,39.55,-77.02,Best Western Westminster Hotel
496,Santa Maria Del Oro,MX,77.14,clear sky,25.93,-105.37,Hotel Palacio Del Sol
502,Pemangkat,ID,79.32,overcast clouds,1.17,108.97,Kost H.Syamsuddin
503,Ranong,TH,77.0,few clouds,9.97,98.63,Tinidee Hotel@Ranong
506,Cururupu,BR,75.29,broken clouds,-1.83,-44.87,Pousada Través'cia
