weather,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain(inches),Snow(inches)
210,Buala,SB,-8.14,159.59,84.09,72,99,6.78,light rain,0,0
211,Nantucket,US,41.28,-70.1,70.0,100,1,5.82,mist,0,0
212,Faya,SA,18.39,42.45,69.8,72,89,4.18,overcast clouds,0,0
213,Washington,US,47.5,-120.5,87.01,19,0,2.48,clear sky,0,0
214,La Romana,DO,18.43,-68.97,80.6,88,75,7.56,broken clouds,0,0
215,Darab,IR,28.75,54.54,75.15,55,98,2.01,overcast clouds,0,0
216,Arawa,PG,-6.21,155.54,83.89,65,100,5.66,overcast clouds,0,0
217,Bontang,ID,0.13,117.5,81.21,77,5,3.6,clear sky,0,0
218,Craigieburn,AU,-37.6,144.95,48.2,70,75,12.75,broken clouds,0,0
219,Copperas Cove,US,31.12,-97.9,93.2,28,40,9.17,scattered clouds,0,0
220,Bohonye,HU,46.41,17.38,64.4,88,100,4.7,overcast clouds,0,0
221,Whitianga,NZ,-36.83,175.7,59.0,83,100,14.0,light rain,0,0
222,Shahrud,IR,36.42,54.98,62.08,68,1,12.41,clear sky,0,0
223,Inverness,GB,57.48,-4.22,51.01,81,97,4.7,overcast clouds,0,0
224,Imeni Poliny Osipenko,RU,52.42,136.49,63.34,63,100,2.3,overcast clouds,0,0
225,Raudeberg,NO,61.99,5.14,46.99,84,87,15.39,light rain,0,0
226,Vologda,RU,59.22,39.89,61.09,94,100,5.73,overcast clouds,0,0
227,Tazovskiy,RU,67.47,78.7,52.47,99,100,10.4,moderate rain,0,0
228,Nanlong,CN,31.35,106.06,74.82,81,97,1.66,overcast clouds,0,0
229,Bethel,US,41.37,-73.41,75.99,90,98,4.63,overcast clouds,0,0
230,Merauke,ID,-8.47,140.33,80.2,66,81,11.45,broken clouds,0,0
231,Lagunas,PE,-5.23,-75.68,72.5,75,0,2.08,clear sky,0,0
232,Turgenevo,RU,54.85,46.33,55.18,79,47,4.47,scattered clouds,0,0
233,Tommot,RU,58.96,126.29,59.4,48,0,2.73,clear sky,0,0
234,Xichang,CN,27.9,102.26,68.7,80,100,0.94,light rain,0,0
235,Biloela,AU,-24.42,150.5,64.9,28,3,10.36,clear sky,0,0
